City,District,School Name,School Type
ADANA,ALADAĞ,Akören Çok Programlı Anadolu Lisesi,Lise
ADANA,ALADAĞ,Akören İlkokulu,İlkokul
ADANA,ALADAĞ,Akören Ortaokulu,Ortaokul
ADANA,ALADAĞ,Aladağ Halk Eğitimi Merkezi,None
ADANA,ALADAĞ,Aladağ İmam Hatip Ortaokulu,Ortaokul
ADANA,ALADAĞ,Aladağ Öğretmenevi ve Akşam Sanat Okulu,None
ADANA,ALADAĞ,Aladağ Sinanpaşa Anadolu İmam Hatip Lisesi,Lise
ADANA,ALADAĞ,Atatürk İlkokulu,İlkokul
ADANA,ALADAĞ,Atatürk Ortaokulu,Ortaokul
ADANA,ALADAĞ,Boztahta Şehit Serdar Yıldırım İlkokulu,İlkokul
ADANA,ALADAĞ,Boztahta Şehit Serdar Yıldırım Ortaokulu,Ortaokul
ADANA,ALADAĞ,Büyüksofulu İmam Hatip Ortaokulu,Ortaokul
ADANA,ALADAĞ,Büyüksofulu Şehit Ziya Şahin İlkokulu,İlkokul
ADANA,ALADAĞ,Ceritler Necati Özsırkıntı İlkokulu,İlkokul
ADANA,ALADAĞ,Darılık İlkokulu,İlkokul
ADANA,ALADAĞ,Dölekli İlkokulu,İlkokul
ADANA,ALADAĞ,Dölekli Ortaokulu,Ortaokul
ADANA,ALADAĞ,Gerdibi İlkokulu,İlkokul
ADANA,ALADAĞ,Gerdibi Ortaokulu,Ortaokul
ADANA,ALADAĞ,Gerdibi Sivişli İlkokulu,İlkokul
ADANA,ALADAĞ,Gökçeköy İlkokulu,İlkokul
ADANA,ALADAĞ,Kabasakal İlkokulu,İlkokul
ADANA,ALADAĞ,Karahan İlkokulu,İlkokul
ADANA,ALADAĞ,Karatepe İlkokulu,İlkokul
ADANA,ALADAĞ,Kıcak Şehit Arif Mamış İlkokulu,İlkokul
ADANA,ALADAĞ,Kıcak Şehit Arif Mamış Ortaokulu,Ortaokul
ADANA,ALADAĞ,Kışlak İlkokulu,İlkokul
ADANA,ALADAĞ,Kızıldam İlkokulu,İlkokul
ADANA,ALADAĞ,Kökez Cumhuriyet İlkokulu,İlkokul
ADANA,ALADAĞ,Kökez İlkokulu,İlkokul
ADANA,ALADAĞ,Kökez Ortaokulu,Ortaokul
ADANA,ALADAĞ,Köprücük İlkokulu,İlkokul
ADANA,ALADAĞ,Köprücük Mengez İlkokulu,İlkokul
ADANA,ALADAĞ,Küp İlkokulu,İlkokul
ADANA,ALADAĞ,Sanko Aladağ Anadolu Lisesi,Lise
ADANA,ALADAĞ,Şehit Adem Oğuz Yatılı Bölge Ortaokulu,Ortaokul
ADANA,ALADAĞ,Sinanpaşa İlkokulu,İlkokul
ADANA,ALADAĞ,Yetimli İlkokulu,İlkokul
ADANA,CEYHAN,100. Yıl Sarısakal İlkokulu,İlkokul
ADANA,CEYHAN,23 Nisan İlkokulu,İlkokul
ADANA,CEYHAN,60.Yıl Manas İlkokulu,İlkokul
ADANA,CEYHAN,75.Yıl Cumhuriyet Anaokulu,Anaokulu
ADANA,CEYHAN,Ali Fevziye Özçelik İlkokulu,İlkokul
ADANA,CEYHAN,Altı Ocak Ticaret Mesleki ve Teknik Anadolu Lisesi,Lise
ADANA,CEYHAN,Anadolu İmam Hatip Lisesi,Lise
ADANA,CEYHAN,Arif Nihat Asya Ortaokulu,Ortaokul
ADANA,CEYHAN,Arif-Hasan Bilici İmam Hatip Ortaokulu,Ortaokul
ADANA,CEYHAN,Atatürk İlkokulu,İlkokul
ADANA,CEYHAN,Ayşe Malaz İlkokulu,İlkokul
ADANA,CEYHAN,Başören İlkokulu,İlkokul
ADANA,CEYHAN,Başören Ortaokulu,Ortaokul
ADANA,CEYHAN,Beşocak İlkokulu,İlkokul
ADANA,CEYHAN,Birkent İlkokulu,İlkokul
ADANA,CEYHAN,Birkent Ortaokulu,Ortaokul
ADANA,CEYHAN,Borsa İstanbul Ceyhan Anadolu Lisesi,Lise
ADANA,CEYHAN,Botaş İlkokulu,İlkokul
ADANA,CEYHAN,Botaş Ortaokulu,Ortaokul
ADANA,CEYHAN,Büyükmangıt Atakuş Kardeşler Anaokulu,Anaokulu
ADANA,CEYHAN,Büyükmangıt Şehit Cüneyt Muhacir Ortaokulu,Ortaokul
ADANA,CEYHAN,Çakabey Denizcilik Mesleki ve Teknik Anadolu Lisesi,Lise
ADANA,CEYHAN,Çakaldere İlkokulu,İlkokul
ADANA,CEYHAN,Çataklı Tatarlı Bakırlı İlkokulu,İlkokul
ADANA,CEYHAN,Çataklı Tatarlı Bakırlı Ortaokulu,Ortaokul
ADANA,CEYHAN,Cengiz Topel İlkokulu,İlkokul
ADANA,CEYHAN,Cennet Çetin Anaokulu,Anaokulu
ADANA,CEYHAN,Ceyhan Anadolu Lisesi,Lise
ADANA,CEYHAN,Ceyhan Biliciler Mesleki ve Teknik Anadolu Lisesi,Lise
ADANA,CEYHAN,Ceyhan Bilim ve Sanat Merkezi,None
ADANA,CEYHAN,Ceyhan Devlet Hastanesi Bekir Özer Anaokulu,Anaokulu
ADANA,CEYHAN,Ceyhan Halk Eğitimi Merkezi,None
ADANA,CEYHAN,Ceyhan Kız Anadolu İmam Hatip Lisesi,Lise
ADANA,CEYHAN,Ceyhan Mesleki Eğitim Merkezi,None
ADANA,CEYHAN,Ceyhan Mesleki ve Teknik Anadolu Lisesi,Lise
ADANA,CEYHAN,Ceyhan Öğretmenevi ve Akşam Sanat Okulu,None
ADANA,CEYHAN,Ceyhan Özel Eğitim Uygulama Okulu III. Kademe,None
ADANA,CEYHAN,Ceyhan Polis Amca Anaokulu,Anaokulu
ADANA,CEYHAN,Ceyhan Rehberlik ve Araştırma Merkezi,None
ADANA,CEYHAN,Ceyhan Şehit Tuncay Ateş İmam Hatip Ortaokulu,Ortaokul
ADANA,CEYHAN,Ceyhan Ticaret Borsası Sosyal Bilimler Lisesi,Lise
ADANA,CEYHAN,Cumhuriyet İlkokulu,İlkokul
ADANA,CEYHAN,Dokuztekne Şehit Adem Çoban  İlkokulu,İlkokul
ADANA,CEYHAN,Dokuztekne Şehit Adem Çoban Ortaokulu,Ortaokul
ADANA,CEYHAN,Doruk Merkez İlkokulu,İlkokul
ADANA,CEYHAN,Doruk Şehit Necip Un Ortaokulu,Ortaokul
ADANA,CEYHAN,Dumlupınar İlkokulu,İlkokul
ADANA,CEYHAN,Eczacı Bahattin-Sevinç Erdinç Fen Lisesi,Lise
ADANA,CEYHAN,Fatih Sultan Mehmet İlkokulu,İlkokul
ADANA,CEYHAN,Fevzi Çakmak Ortaokulu,Ortaokul
ADANA,CEYHAN,Gazi Ortaokulu,Ortaokul
ADANA,CEYHAN,Gaziosmanpaşa İlkokulu,İlkokul
ADANA,CEYHAN,Güler Aral Anaokulu,Anaokulu
ADANA,CEYHAN,Gümürdülü Ortaokulu,Ortaokul
ADANA,CEYHAN,Gümürdülü Şehit Ali Fuat Haydaroğlu İlkokulu,İlkokul
ADANA,CEYHAN,Gümüşdere İlkokulu,İlkokul
ADANA,CEYHAN,Hafsa Sultan Anaokulu,Anaokulu
ADANA,CEYHAN,Halil Çiftçi Anadolu Lisesi,Lise
ADANA,CEYHAN,Hamdilli İlkokulu,İlkokul
ADANA,CEYHAN,Hamdilli Ortaokulu,Ortaokul
ADANA,CEYHAN,Hamidiye Anaokulu,Anaokulu
ADANA,CEYHAN,Heydar Aliyev Mesleki ve Teknik Anadolu Lisesi,Lise
ADANA,CEYHAN,İhsan Demirtaş İlkokulu,İlkokul
ADANA,CEYHAN,İlbeyli-Beyteks Mesleki ve Teknik Anadolu Lisesi,Lise
ADANA,CEYHAN,İsmail-Ayşe Önük Ortaokulu,Ortaokul
ADANA,CEYHAN,Kadir Sevil Aydar Anaokulu,Anaokulu
ADANA,CEYHAN,Kasım Garipoğlu Anadolu Lisesi,Lise
ADANA,CEYHAN,Kaymakam Gürbüz Karakuş Ortaokulu,Ortaokul
ADANA,CEYHAN,Kıvrıklı İlkokulu,İlkokul
ADANA,CEYHAN,Körkuyu İlkokulu,İlkokul
ADANA,CEYHAN,Kösreli İlkokulu,İlkokul
ADANA,CEYHAN,Kösreli Ortaokulu,Ortaokul
ADANA,CEYHAN,Küçükmangıt İlkokulu,İlkokul
ADANA,CEYHAN,Kurtkulağı Orhan Ekinci İlkokulu,İlkokul
ADANA,CEYHAN,Kurtkulağı Orhan Ekinci Ortaokulu,Ortaokul
ADANA,CEYHAN,Kuzucak İlkokulu,İlkokul
ADANA,CEYHAN,Kuzucak Ortaokulu,Ortaokul
ADANA,CEYHAN,Mehmet Akif Ersoy İlkokulu,İlkokul
ADANA,CEYHAN,Mehmet Orhun Yaylacı Anadolu Lisesi,Lise
ADANA,CEYHAN,Mehmetçik İlkokulu,İlkokul
ADANA,CEYHAN,Mercimek Anaokulu,Anaokulu
ADANA,CEYHAN,Mercimek Tevhide Atçı İlkokulu,İlkokul
ADANA,CEYHAN,Mercimek Tevhide Atçı Ortaokulu,Ortaokul
ADANA,CEYHAN,Mithatpaşa Şehit Battal Özaslan İlkokulu,İlkokul
ADANA,CEYHAN,Mürüvvet - Mahmut Kayhan Anaokulu,Anaokulu
ADANA,CEYHAN,Mustafabeyli İlkokulu,İlkokul
ADANA,CEYHAN,Mustafabeyli Ortaokulu,Ortaokul
ADANA,CEYHAN,Namık Kemal İlkokulu,İlkokul
ADANA,CEYHAN,Necati Akçağlılar İlkokulu,İlkokul
ADANA,CEYHAN,Nurhan Demirtaş Ortaokulu,Ortaokul
ADANA,CEYHAN,Pamukeli Ortaokulu,Ortaokul
ADANA,CEYHAN,Polis Amca Özel Eğitim Anaokulu,Anaokulu
ADANA,CEYHAN,Remzi Oğuz Arık İlkokulu,İlkokul
ADANA,CEYHAN,Şaban Üçgül ve Kardeşleri Mesleki ve Teknik Anadolu Lisesi,Lise
ADANA,CEYHAN,Şadiye Mustafa Caf Ortaokulu,Ortaokul
ADANA,CEYHAN,Sağkaya Çok Programlı Anadolu Lisesi,Lise
ADANA,CEYHAN,Sağkaya İlkokulu,İlkokul
ADANA,CEYHAN,Sağkaya Şehit Eren Öztürk Ortaokulu,Ortaokul
ADANA,CEYHAN,Sakarya İlkokulu,İlkokul
ADANA,CEYHAN,Sakarya Ortaokulu,Ortaokul
ADANA,CEYHAN,Sakine Garipoğlu İlkokulu,İlkokul
ADANA,CEYHAN,Sarıbahçe İlkokulu,İlkokul
ADANA,CEYHAN,Sarısakal İlkokulu,İlkokul
ADANA,CEYHAN,Sarısakal Ortaokulu,Ortaokul
ADANA,CEYHAN,Şehit Adnan Sürücü Ortaokulu,Ortaokul
ADANA,CEYHAN,Şehit Ertan Sevim Ortaokulu,Ortaokul
ADANA,CEYHAN,Şehit Fehmi Koç İlkokulu,İlkokul
ADANA,CEYHAN,Şehit Hüseyin Birimen Ortaokulu,Ortaokul
ADANA,CEYHAN,Şehit İsa Çiçek İlkokulu,İlkokul
ADANA,CEYHAN,Şehit Süleyman Çakır Anaokulu,Anaokulu
ADANA,CEYHAN,Şehit Zeynep Sağır Anadolu Lisesi,Lise
ADANA,CEYHAN,Şerife Topal Anaokulu,Anaokulu
ADANA,CEYHAN,Soysallı Şehit Eren Çelik İlkokulu,İlkokul
ADANA,CEYHAN,Tekfen Vakfı Özel Eğitim Uygulama Merkezi I. Kademe,None
ADANA,CEYHAN,TEKFEN VAKFI ÖZEL EĞİTİM UYGULAMA OKULU II. KADEME,None
ADANA,CEYHAN,Toktamış İlkokulu,İlkokul
ADANA,CEYHAN,Toros Tarım Anadolu Lisesi,Lise
ADANA,CEYHAN,Toros Tarım İlkokulu,İlkokul
ADANA,CEYHAN,Toros Tarım Ortaokulu,Ortaokul
ADANA,CEYHAN,Ülkü Halim Gökçedağ İlkokulu,İlkokul
ADANA,CEYHAN,Yaltır Kardeşler Kız Mesleki ve Teknik Anadolu Lisesi,Lise
ADANA,CEYHAN,Yaltır Kardeşler Ortaokulu,Ortaokul
ADANA,CEYHAN,Yeşildam İlkokulu,İlkokul
ADANA,CEYHAN,Yeşildam Ortaokulu,Ortaokul
ADANA,CEYHAN,YÜKSEL DAL ANAOKULU,None
ADANA,CEYHAN,Zahit Çetin İlkokulu,İlkokul
ADANA,CEYHAN,Zerrin Ziya Çetin Anaokulu,Anaokulu
ADANA,ÇUKUROVA,15 Temmuz Şehitleri Anadolu Lisesi,Lise
ADANA,ÇUKUROVA,Abbas-Sıdıka Çalık Anadolu Lisesi,Lise
ADANA,ÇUKUROVA,Abdullah Cem Turhan Anaokulu,Anaokulu
ADANA,ÇUKUROVA,Adana Anadolu Lisesi,Lise
ADANA,ÇUKUROVA,Adana Çukurova Güzel Sanatlar Lisesi,Lise
ADANA,ÇUKUROVA,Adana Genç İş İnsanları Derneği Ortaokulu,Ortaokul
ADANA,ÇUKUROVA,Adana Kız Lisesi,Lise
ADANA,ÇUKUROVA,Adana Tabipler Odası İlkokulu,İlkokul
ADANA,ÇUKUROVA,Adana Ticaret Borsası Anadolu Lisesi,Lise
ADANA,ÇUKUROVA,Adana Ticaret Odası 125. Yıl İlkokulu,İlkokul
ADANA,ÇUKUROVA,Ahmet Kurttepeli Anadolu Lisesi,Lise
ADANA,ÇUKUROVA,Ahmet Sabancı Anaokulu,Anaokulu
